Field=#~Integer~#~50|Field=Comment~String~Comment~99|Field=Description~String~Description~99|Field=Designator~String~Designator~99|Field=Footprint~String~Footprint~99|Field=LibRef~String~LibRef~99|Field=Quantity~Integer~Quantity~99|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~pizerousbhub.PrjPcb|ReportField=ProjectFullPath~D:\Github\Altium-Imports\Imported pizerousbhub.PrjPcb\pizerousbhub.PrjPcb|ReportField=Title~Bill of Materials For Project [pizerousbhub.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~38|ReportField=ReportTime~11:54:41|ReportField=ReportDate~16/06/2016|ReportField=ReportDateTime~16/06/2016 11:54:41|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~16/06/2016|ReportField=CurrentTime~11:53:29|ReportField=Date~|ReportField=DocumentFullPathAndName~D:\Github\Altium-Imports\Imported pizerousbhub.PrjPcb\pizerousbhub.SchDoc|ReportField=DocumentName~pizerousbhub.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~16/06/2016|ReportField=Organization~|ReportField=ProjectName~pizerousbhub.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~pizerousbhub.PrjPcb|ReportField=DataSourceFullPath~D:\Github\Altium-Imports\Imported pizerousbhub.PrjPcb\pizerousbhub.PrjPcb
1|SMD2|SMD PAD|+, -, G, V+|SMD1,27-2,54|SMD2|4
2|+3V3|SUPPLY SYMBOL|+3V1||+3V3|1
3|0.01uF|CAPACITOR, European symbol|C2|C0603|C-EUC0603|1
4|15pf|CAPACITOR, European symbol|C5, C6|C0603|C-EUC0603|2
5|1uF|POLARIZED CAPACITOR, European symbol|C7, C15|A/3216-18W|CPOL-EUA/3216-18W|2
6|22Pf|CAPACITOR, European symbol|C9, C10, C11, C12, C13, C14, C32, C33|C0603|C-EUC0603|8
7|1uF|POLARIZED CAPACITOR, European symbol|C16|C/6032-28R|CPOL-EUC/6032-28R|1
8|LD117AS33TR|Low drop fixed and adjustable positive voltage regulators 1 A   Source: http://www.st.com/stonline/products/literature/ds/7194/ld1117axx.pdf|IC5|SOT223|LD117A?*S|1
9|USB-JST-2MM-SMT|USB Connectors   USB-B-PTH is fully proven SKU : PRT-00139/CONN-08278    USB-miniB is fully proven SKU : PRT-00587    USB-A-PCB is untested.    USB-A-H is throughly reviewed, but untested. Spark Fun Electronics SKU : PRT-00437    USB-B-SMT is throughly reviewed, but untested. Needs silkscreen touching up.    USB-A-S has not been used/tested    USB-MB-H has not been used/tested    USB-MICROB has been used. CONN-09505|JP1, JP3, JP5, JP8|S4B-PH|USB-JST-2MM-SMT|4
10|6MHz|CRYSTAL|Q2|CTS406|CRYSTALCTS406|1
11|15K|RESISTOR, European symbol|R1, R2, R12, R13, R14, R15, R16, R17, R18|R0603|R-EU_R0603|9
12|10k|RESISTOR, European symbol|R3|R0603|R-EU_R0603|1
13|22|RESISTOR, European symbol|R4, R7|R0603|R-EU_R0603|2
14|TUSB2046||U$5|LQFP-32|TUSB2046|1
